"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","task","correct_response","exemplar_ID","category","correct","bonus"
"true","false","[]","[]","[]","preload","0","4","0.0-0.0","610d842e204deeeccfc472d2","6554bfa13ac4b6a0ab00b03a","6554c1099aaa979220faacf4","","","","","","","","",""
"","","","","","html-keyboard-response","1","5240","0.0-1.0","610d842e204deeeccfc472d2","6554bfa13ac4b6a0ab00b03a","6554c1099aaa979220faacf4","5235","Welcome to the Category Learning experiment! Press any key to continue."," ","welcome","","","","",""
"","","","","","html-keyboard-response","2","34188","0.0-2.0","610d842e204deeeccfc472d2","6554bfa13ac4b6a0ab00b03a","6554c1099aaa979220faacf4","28946","
            <p>You will be shown images of black shapes.  Some are category A, some are category B.
            <br>You will not know in advance which category a specific shape belongs to.</p>
            <p>After you see an image, you will be asked to guess its category <b>(left arrow for category A, right arrow for category B)</b></p>
            <p>After you choose, the screen will show you whether you were correct or not.</p>
            <p><b>You will receive a bonus payment of $0.05 for each correct answer!</b></p>
            <p> So you can increase your bonus by guessing correctly, and by guessing as quickly as possible so you move on to the next image sooner.</p>
            <p>Press any key to continue.</p>
            ","arrowright","introduction_1","","","","",""
"","","","","","html-keyboard-response","3","43344","0.0-3.0","610d842e204deeeccfc472d2","6554bfa13ac4b6a0ab00b03a","6554c1099aaa979220faacf4","9153","
            <p> <b>The first 10 trials are a practice round that will not count towards your bonus payment.</b></p>
            <p> You will be notified when practice finishes and the test begins. </p>
            <p> Press any key to begin the practice round.</p>
            "," ","introduction_2","","","","",""
"","","","","","html-keyboard-response","4","46602","0.0-4.0-0.0","610d842e204deeeccfc472d2","6554bfa13ac4b6a0ab00b03a","6554c1099aaa979220faacf4","3230","
            
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 1vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
            <div> Please press any button to continue to the next trial.</div>
        "," ","ITI","","","","",""
"","","","","","html-keyboard-response","5","47221","0.0-4.0-1.0","610d842e204deeeccfc472d2","6554bfa13ac4b6a0ab00b03a","6554c1099aaa979220faacf4","null","
        
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 1vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
        <img class=""stim"" src=./stimuli//pack_shapes/cat_2/ex_2_8.png></img>
    ","null","stimulus","","","","",""
"","","","","","html-keyboard-response","6","48227","0.0-4.0-2.0","610d842e204deeeccfc472d2","6554bfa13ac4b6a0ab00b03a","6554c1099aaa979220faacf4","null","
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 1vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    ","null","","","","","",""
"","","","","","html-keyboard-response","7","52243","0.0-4.0-3.0","610d842e204deeeccfc472d2","6554bfa13ac4b6a0ab00b03a","6554c1099aaa979220faacf4","null","./stimuli//pack_shapes/cat_2/ex_2_8.png","null","response","ArrowRight","8","2","false",""
"","","","","","html-keyboard-response","8","53862","0.0-4.0-4.0","610d842e204deeeccfc472d2","6554bfa13ac4b6a0ab00b03a","6554c1099aaa979220faacf4","null","<p> <font color=""red"" size=""5vw""> Time out! </font> <br> Please try to respond as quickly as possible. </p>","null","feedback","","","","","0"
"","","","","","html-keyboard-response","9","56030","0.0-4.0-0.1","610d842e204deeeccfc472d2","6554bfa13ac4b6a0ab00b03a","6554c1099aaa979220faacf4","2167","
            
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 1vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
            <div> Please press any button to continue to the next trial.</div>
        "," ","ITI","","","","",""
"","","","","","html-keyboard-response","10","56644","0.0-4.0-1.1","610d842e204deeeccfc472d2","6554bfa13ac4b6a0ab00b03a","6554c1099aaa979220faacf4","null","
        
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 1vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
        <img class=""stim"" src=./stimuli//pack_shapes/cat_1/ex_1_29.png></img>
    ","null","stimulus","","","","",""
"","","","","","html-keyboard-response","11","57649","0.0-4.0-2.1","610d842e204deeeccfc472d2","6554bfa13ac4b6a0ab00b03a","6554c1099aaa979220faacf4","null","
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 1vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    ","null","","","","","",""
"","","","","","html-keyboard-response","12","61664","0.0-4.0-3.1","610d842e204deeeccfc472d2","6554bfa13ac4b6a0ab00b03a","6554c1099aaa979220faacf4","null","./stimuli//pack_shapes/cat_1/ex_1_29.png","null","response","ArrowLeft","29","1","false",""
"","","","","","html-keyboard-response","13","63180","0.0-4.0-4.1","610d842e204deeeccfc472d2","6554bfa13ac4b6a0ab00b03a","6554c1099aaa979220faacf4","null","<p> <font color=""red"" size=""5vw""> Time out! </font> <br> Please try to respond as quickly as possible. </p>","null","feedback","","","","","0"
"","","","","","html-keyboard-response","14","67893","0.0-4.0-0.2","610d842e204deeeccfc472d2","6554bfa13ac4b6a0ab00b03a","6554c1099aaa979220faacf4","4712","
            
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 1vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
            <div> Please press any button to continue to the next trial.</div>
        "," ","ITI","","","","",""
"","","","","","html-keyboard-response","15","68495","0.0-4.0-1.2","610d842e204deeeccfc472d2","6554bfa13ac4b6a0ab00b03a","6554c1099aaa979220faacf4","null","
        
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 1vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
        <img class=""stim"" src=./stimuli//pack_shapes/cat_2/ex_2_80.png></img>
    ","null","stimulus","","","","",""
"","","","","","html-keyboard-response","16","69505","0.0-4.0-2.2","610d842e204deeeccfc472d2","6554bfa13ac4b6a0ab00b03a","6554c1099aaa979220faacf4","null","
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 1vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    ","null","","","","","",""
"","","","","","html-keyboard-response","17","73558","0.0-4.0-3.2","610d842e204deeeccfc472d2","6554bfa13ac4b6a0ab00b03a","6554c1099aaa979220faacf4","null","./stimuli//pack_shapes/cat_2/ex_2_80.png","null","response","ArrowRight","80","2","false",""
"","","","","","html-keyboard-response","18","75065","0.0-4.0-4.2","610d842e204deeeccfc472d2","6554bfa13ac4b6a0ab00b03a","6554c1099aaa979220faacf4","null","<p> <font color=""red"" size=""5vw""> Time out! </font> <br> Please try to respond as quickly as possible. </p>","null","feedback","","","","","0"
"","","","","","html-keyboard-response","19","80281","0.0-4.0-0.3","610d842e204deeeccfc472d2","6554bfa13ac4b6a0ab00b03a","6554c1099aaa979220faacf4","5214","
            
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 1vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
            <div> Please press any button to continue to the next trial.</div>
        ","arrowleft","ITI","","","","",""
"","","","","","html-keyboard-response","20","80898","0.0-4.0-1.3","610d842e204deeeccfc472d2","6554bfa13ac4b6a0ab00b03a","6554c1099aaa979220faacf4","null","
        
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 1vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
        <img class=""stim"" src=./stimuli//pack_shapes/cat_1/ex_1_39.png></img>
    ","null","stimulus","","","","",""
"","","","","","html-keyboard-response","21","81903","0.0-4.0-2.3","610d842e204deeeccfc472d2","6554bfa13ac4b6a0ab00b03a","6554c1099aaa979220faacf4","null","
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 1vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    ","null","","","","","",""
"","","","","","html-keyboard-response","22","82258","0.0-4.0-3.3","610d842e204deeeccfc472d2","6554bfa13ac4b6a0ab00b03a","6554c1099aaa979220faacf4","352","./stimuli//pack_shapes/cat_1/ex_1_39.png","arrowleft","response","ArrowLeft","39","1","true",""
"","","","","","html-keyboard-response","23","83763","0.0-4.0-4.3","610d842e204deeeccfc472d2","6554bfa13ac4b6a0ab00b03a","6554c1099aaa979220faacf4","null","<p> <font color=""green"" size=""4vw""> Correct category! </font> </p>","null","feedback","","","","","0"
"","","","","","html-keyboard-response","24","86571","0.0-4.0-0.4","610d842e204deeeccfc472d2","6554bfa13ac4b6a0ab00b03a","6554c1099aaa979220faacf4","2808","
            
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 1vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
            <div> Please press any button to continue to the next trial.</div>
        ","arrowleft","ITI","","","","",""
"","","","","","html-keyboard-response","25","87182","0.0-4.0-1.4","610d842e204deeeccfc472d2","6554bfa13ac4b6a0ab00b03a","6554c1099aaa979220faacf4","null","
        
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 1vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
        <img class=""stim"" src=./stimuli//pack_shapes/cat_1/ex_1_3.png></img>
    ","null","stimulus","","","","",""
"","","","","","html-keyboard-response","26","88190","0.0-4.0-2.4","610d842e204deeeccfc472d2","6554bfa13ac4b6a0ab00b03a","6554c1099aaa979220faacf4","null","
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 1vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    ","null","","","","","",""
"","","","","","html-keyboard-response","27","88486","0.0-4.0-3.4","610d842e204deeeccfc472d2","6554bfa13ac4b6a0ab00b03a","6554c1099aaa979220faacf4","295","./stimuli//pack_shapes/cat_1/ex_1_3.png","arrowleft","response","ArrowLeft","3","1","true",""
"","","","","","html-keyboard-response","28","90002","0.0-4.0-4.4","610d842e204deeeccfc472d2","6554bfa13ac4b6a0ab00b03a","6554c1099aaa979220faacf4","null","<p> <font color=""green"" size=""4vw""> Correct category! </font> </p>","null","feedback","","","","","0"
"","","","","","html-keyboard-response","29","91598","0.0-4.0-0.5","610d842e204deeeccfc472d2","6554bfa13ac4b6a0ab00b03a","6554c1099aaa979220faacf4","1594","
            
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 1vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
            <div> Please press any button to continue to the next trial.</div>
        ","arrowleft","ITI","","","","",""
"","","","","","html-keyboard-response","30","92207","0.0-4.0-1.5","610d842e204deeeccfc472d2","6554bfa13ac4b6a0ab00b03a","6554c1099aaa979220faacf4","null","
        
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 1vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
        <img class=""stim"" src=./stimuli//pack_shapes/cat_2/ex_2_49.png></img>
    ","null","stimulus","","","","",""
"","","","","","html-keyboard-response","31","93213","0.0-4.0-2.5","610d842e204deeeccfc472d2","6554bfa13ac4b6a0ab00b03a","6554c1099aaa979220faacf4","null","
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 1vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    ","null","","","","","",""
"","","","","","html-keyboard-response","32","93226","0.0-4.0-3.5","610d842e204deeeccfc472d2","6554bfa13ac4b6a0ab00b03a","6554c1099aaa979220faacf4","11","./stimuli//pack_shapes/cat_2/ex_2_49.png","arrowleft","response","ArrowRight","49","2","false",""
"","","","","","html-keyboard-response","33","94740","0.0-4.0-4.5","610d842e204deeeccfc472d2","6554bfa13ac4b6a0ab00b03a","6554c1099aaa979220faacf4","null","<p> <font color=""red"" size=""4vw""> Wrong category! </font> </p>","null","feedback","","","","","0"
"","","","","","html-keyboard-response","34","95871","0.0-4.0-0.6","610d842e204deeeccfc472d2","6554bfa13ac4b6a0ab00b03a","6554c1099aaa979220faacf4","1130","
            
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 1vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
            <div> Please press any button to continue to the next trial.</div>
        ","arrowleft","ITI","","","","",""
