"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","stimulus","response","task","correct_response","exemplar_ID","category","difficulty","phase","correct","bonus"
"true","false","[]","[]","[]","preload","0","1","0.0-0.0","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","8133","0.0-1.0","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","8132","Welcome to the Category Learning experiment! Press any key to continue."," ","welcome","","","","","","",""
"","","","","","html-keyboard-response","2","51133","0.0-2.0","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","42999","
            <p>You will be shown images of black shapes. Some are category A, some are category B.
            <br>You will not know in advance which category a specific shape belongs to.</p>
            <p>After you see an image, you will be asked to guess its category <b>(left arrow for category A, right arrow for category B)</b></p>
            <p>After you choose, the screen will show you whether you were correct or not.</p>
            <p><b>You will receive a bonus payment of $0.05 for each correct answer!</b></p>
            <p> So you can increase your bonus by guessing correctly, and by guessing as quickly as possible so you move on to the next image sooner.</p>
            <p>Press any key to continue.</p>
            "," ","introduction_1","","","","","","",""
"","","","","","html-keyboard-response","3","58597","0.0-3.0","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","7464","
            <p> <b>The first 10 trials are a practice round that will not count towards your bonus payment.</b></p>
            <p> You will be notified when practice finishes and the test begins. </p>
            <p> Press any key to begin the practice round.</p>
            "," ","introduction_2","","","","","","",""
"","","","","","html-keyboard-response","4","61021","0.0-4.0-0.0","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","2424","
            
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
            <div> Please press any button to continue to the next trial.</div>
        "," ","ITI","","","","","","",""
"","","","","","html-keyboard-response","5","61628","0.0-4.0-1.0","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","null","
        
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
        <img class=""stim"" src=./stimuli//pack_shapes_diff/cat_1/diff_2/ex_1_2_2.png></img>
    ","null","stimulus","","","","","","",""
"","","","","","html-keyboard-response","6","62632","0.0-4.0-2.0","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","null","
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    ","null","","","","","","","",""
"","","","","","html-keyboard-response","7","63357","0.0-4.0-3.0","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","724","./stimuli//pack_shapes_diff/cat_1/diff_2/ex_1_2_2.png","arrowleft","response","ArrowLeft","2","1","2","train","true",""
"","","","","","html-keyboard-response","8","64866","0.0-4.0-4.0","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","null","<p> <font color=""green"" size=""5vw""> Correct category! </font> </p>","null","feedback","","","","","","","0"
"","","","","","html-keyboard-response","9","66045","0.0-4.0-0.1","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","1178","
            
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
            <div> Please press any button to continue to the next trial.</div>
        "," ","ITI","","","","","","",""
"","","","","","html-keyboard-response","10","66655","0.0-4.0-1.1","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","null","
        
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
        <img class=""stim"" src=./stimuli//pack_shapes_diff/cat_2/diff_1/ex_2_1_15.png></img>
    ","null","stimulus","","","","","","",""
"","","","","","html-keyboard-response","11","67661","0.0-4.0-2.1","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","null","
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    ","null","","","","","","","",""
"","","","","","html-keyboard-response","12","67669","0.0-4.0-3.1","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","7","./stimuli//pack_shapes_diff/cat_2/diff_1/ex_2_1_15.png","arrowleft","response","ArrowRight","15","2","1","train","false",""
"","","","","","html-keyboard-response","13","69171","0.0-4.0-4.1","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","null","<p> <font color=""red"" size=""5vw""> Wrong category! </font> </p>","null","feedback","","","","","","","0"
"","","","","","html-keyboard-response","14","70029","0.0-4.0-0.2","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","857","
            
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
            <div> Please press any button to continue to the next trial.</div>
        "," ","ITI","","","","","","",""
"","","","","","html-keyboard-response","15","70635","0.0-4.0-1.2","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","null","
        
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
        <img class=""stim"" src=./stimuli//pack_shapes_diff/cat_2/diff_1/ex_2_1_11.png></img>
    ","null","stimulus","","","","","","",""
"","","","","","html-keyboard-response","16","71645","0.0-4.0-2.2","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","null","
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    ","null","","","","","","","",""
"","","","","","html-keyboard-response","17","71941","0.0-4.0-3.2","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","296","./stimuli//pack_shapes_diff/cat_2/diff_1/ex_2_1_11.png","arrowright","response","ArrowRight","11","2","1","train","true",""
"","","","","","html-keyboard-response","18","73450","0.0-4.0-4.2","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","null","<p> <font color=""green"" size=""5vw""> Correct category! </font> </p>","null","feedback","","","","","","","0"
"","","","","","html-keyboard-response","19","74237","0.0-4.0-0.3","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","786","
            
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
            <div> Please press any button to continue to the next trial.</div>
        "," ","ITI","","","","","","",""
"","","","","","html-keyboard-response","20","74842","0.0-4.0-1.3","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","null","
        
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
        <img class=""stim"" src=./stimuli//pack_shapes_diff/cat_1/diff_1/ex_1_1_3.png></img>
    ","null","stimulus","","","","","","",""
"","","","","","html-keyboard-response","21","75847","0.0-4.0-2.3","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","null","
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    ","null","","","","","","","",""
"","","","","","html-keyboard-response","22","76093","0.0-4.0-3.3","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","245","./stimuli//pack_shapes_diff/cat_1/diff_1/ex_1_1_3.png","arrowleft","response","ArrowLeft","3","1","1","train","true",""
"","","","","","html-keyboard-response","23","77603","0.0-4.0-4.3","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","null","<p> <font color=""green"" size=""5vw""> Correct category! </font> </p>","null","feedback","","","","","","","0"
"","","","","","html-keyboard-response","24","78293","0.0-4.0-0.4","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","689","
            
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
            <div> Please press any button to continue to the next trial.</div>
        "," ","ITI","","","","","","",""
"","","","","","html-keyboard-response","25","78902","0.0-4.0-1.4","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","null","
        
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
        <img class=""stim"" src=./stimuli//pack_shapes_diff/cat_2/diff_1/ex_2_1_13.png></img>
    ","null","stimulus","","","","","","",""
"","","","","","html-keyboard-response","26","79905","0.0-4.0-2.4","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","null","
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    ","null","","","","","","","",""
"","","","","","html-keyboard-response","27","80141","0.0-4.0-3.4","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","236","./stimuli//pack_shapes_diff/cat_2/diff_1/ex_2_1_13.png","arrowright","response","ArrowRight","13","2","1","train","true",""
"","","","","","html-keyboard-response","28","81645","0.0-4.0-4.4","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","null","<p> <font color=""green"" size=""5vw""> Correct category! </font> </p>","null","feedback","","","","","","","0"
"","","","","","html-keyboard-response","29","82253","0.0-4.0-0.5","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","608","
            
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
            <div> Please press any button to continue to the next trial.</div>
        "," ","ITI","","","","","","",""
"","","","","","html-keyboard-response","30","82861","0.0-4.0-1.5","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","null","
        
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
        <img class=""stim"" src=./stimuli//pack_shapes_diff/cat_1/diff_1/ex_1_1_9.png></img>
    ","null","stimulus","","","","","","",""
"","","","","","html-keyboard-response","31","83877","0.0-4.0-2.5","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","null","
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    ","null","","","","","","","",""
"","","","","","html-keyboard-response","32","84085","0.0-4.0-3.5","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","207","./stimuli//pack_shapes_diff/cat_1/diff_1/ex_1_1_9.png","arrowleft","response","ArrowLeft","9","1","1","train","true",""
"","","","","","html-keyboard-response","33","85591","0.0-4.0-4.5","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","null","<p> <font color=""green"" size=""5vw""> Correct category! </font> </p>","null","feedback","","","","","","","0"
"","","","","","html-keyboard-response","34","86565","0.0-4.0-0.6","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","974","
            
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
            <div> Please press any button to continue to the next trial.</div>
        "," ","ITI","","","","","","",""
"","","","","","html-keyboard-response","35","87175","0.0-4.0-1.6","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","null","
        
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
        <img class=""stim"" src=./stimuli//pack_shapes_diff/cat_2/diff_2/ex_2_2_2.png></img>
    ","null","stimulus","","","","","","",""
"","","","","","html-keyboard-response","36","88191","0.0-4.0-2.6","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","null","
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    ","null","","","","","","","",""
"","","","","","html-keyboard-response","37","88477","0.0-4.0-3.6","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","285","./stimuli//pack_shapes_diff/cat_2/diff_2/ex_2_2_2.png","arrowright","response","ArrowRight","2","2","2","train","true",""
"","","","","","html-keyboard-response","38","89988","0.0-4.0-4.6","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","null","<p> <font color=""green"" size=""5vw""> Correct category! </font> </p>","null","feedback","","","","","","","0"
"","","","","","html-keyboard-response","39","90653","0.0-4.0-0.7","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","664","
            
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
            <div> Please press any button to continue to the next trial.</div>
        "," ","ITI","","","","","","",""
"","","","","","html-keyboard-response","40","91254","0.0-4.0-1.7","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","null","
        
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
        <img class=""stim"" src=./stimuli//pack_shapes_diff/cat_1/diff_2/ex_1_2_5.png></img>
    ","null","stimulus","","","","","","",""
"","","","","","html-keyboard-response","41","92264","0.0-4.0-2.7","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","null","
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    ","null","","","","","","","",""
"","","","","","html-keyboard-response","42","92317","0.0-4.0-3.7","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","53","./stimuli//pack_shapes_diff/cat_1/diff_2/ex_1_2_5.png","arrowleft","response","ArrowLeft","5","1","2","train","true",""
"","","","","","html-keyboard-response","43","92461","0.0-4.0-4.7","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","144","<p> <font color=""green"" size=""5vw""> Correct category! </font> </p>","arrowleft","feedback","","","","","","","0"
"","","","","","html-keyboard-response","44","93901","0.0-4.0-0.8","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","1440","
            
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
            <div> Please press any button to continue to the next trial.</div>
        ","arrowleft","ITI","","","","","","",""
"","","","","","html-keyboard-response","45","94511","0.0-4.0-1.8","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","null","
        
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
        <img class=""stim"" src=./stimuli//pack_shapes_diff/cat_1/diff_1/ex_1_1_7.png></img>
    ","null","stimulus","","","","","","",""
"","","","","","html-keyboard-response","46","95517","0.0-4.0-2.8","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","null","
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    ","null","","","","","","","",""
"","","","","","html-keyboard-response","47","95589","0.0-4.0-3.8","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","71","./stimuli//pack_shapes_diff/cat_1/diff_1/ex_1_1_7.png","arrowleft","response","ArrowLeft","7","1","1","train","true",""
"","","","","","html-keyboard-response","48","97102","0.0-4.0-4.8","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","null","<p> <font color=""green"" size=""5vw""> Correct category! </font> </p>","null","feedback","","","","","","","0"
"","","","","","html-keyboard-response","49","97613","0.0-4.0-0.9","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","510","
            
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
            <div> Please press any button to continue to the next trial.</div>
        ","arrowleft","ITI","","","","","","",""
"","","","","","html-keyboard-response","50","98226","0.0-4.0-1.9","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","null","
        
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
        <img class=""stim"" src=./stimuli//pack_shapes_diff/cat_2/diff_2/ex_2_2_12.png></img>
    ","null","stimulus","","","","","","",""
"","","","","","html-keyboard-response","51","99239","0.0-4.0-2.9","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","null","
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    ","null","","","","","","","",""
"","","","","","html-keyboard-response","52","99389","0.0-4.0-3.9","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","149","./stimuli//pack_shapes_diff/cat_2/diff_2/ex_2_2_12.png","arrowright","response","ArrowRight","12","2","2","train","true",""
"","","","","","html-keyboard-response","53","100903","0.0-4.0-4.9","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","null","<p> <font color=""green"" size=""5vw""> Correct category! </font> </p>","null","feedback","","","","","","","0"
"","","","","","html-keyboard-response","54","102237","0.0-5.0","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","1333","
            <b> <p> The practice round has finished.</p>
            <b> For the rest of the experiment you will receive a $0.05 bonus for each correct answer!</b>
            <p> Press any key to begin the test. </p>
            "," ","intermission","","","","","","",""
"","","","","","html-keyboard-response","55","103165","0.0-6.0-0.0","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","928","
            
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
            <div> Please press any button to continue to the next trial.</div>
        "," ","ITI","","","","","","",""
"","","","","","html-keyboard-response","56","103778","0.0-6.0-1.0","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","null","
        
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    
        <img class=""stim"" src=./stimuli//pack_shapes_diff/cat_1/diff_1/ex_1_1_14.png></img>
    ","null","stimulus","","","","","","",""
"","","","","","html-keyboard-response","57","104781","0.0-6.0-2.0","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","null","
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0 </font>
            </div>
        </div>
    ","null","","","","","","","",""
"","","","","","html-keyboard-response","58","105197","0.0-6.0-3.0","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","415","./stimuli//pack_shapes_diff/cat_1/diff_1/ex_1_1_14.png","arrowleft","response","ArrowLeft","14","1","1","test","true",""
"","","","","","html-keyboard-response","59","106713","0.0-6.0-4.0","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","null","<p> <font color=""green"" size=""5vw""> Correct category! </font> <br> <br> <font color=""green"" size=""8vw""> + $0.05 </font> </p>","null","feedback","","","","","","","0.05"
"","","","","","html-keyboard-response","60","107605","0.0-6.1-0.1","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","891","
            
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0.05 </font>
            </div>
        </div>
    
            <div> Please press any button to continue to the next trial.</div>
        ","arrowleft","ITI","","","","","","",""
"","","","","","html-keyboard-response","61","108213","0.0-6.1-1.1","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","null","
        
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0.05 </font>
            </div>
        </div>
    
        <img class=""stim"" src=./stimuli//pack_shapes_diff/cat_1/diff_1/ex_1_1_4.png></img>
    ","null","stimulus","","","","","","",""
"","","","","","html-keyboard-response","62","109217","0.0-6.1-2.1","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","null","
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0.05 </font>
            </div>
        </div>
    ","null","","","","","","","",""
"","","","","","html-keyboard-response","63","109733","0.0-6.1-3.1","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","515","./stimuli//pack_shapes_diff/cat_1/diff_1/ex_1_1_4.png","arrowleft","response","ArrowLeft","4","1","1","test","true",""
"","","","","","html-keyboard-response","64","111237","0.0-6.1-4.1","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","null","<p> <font color=""green"" size=""5vw""> Correct category! </font> <br> <br> <font color=""green"" size=""8vw""> + $0.05 </font> </p>","null","feedback","","","","","","","0.1"
"","","","","","html-keyboard-response","65","111597","0.0-6.2-0.2","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","359","
            
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0.1 </font>
            </div>
        </div>
    
            <div> Please press any button to continue to the next trial.</div>
        ","arrowleft","ITI","","","","","","",""
"","","","","","html-keyboard-response","66","112207","0.0-6.2-1.2","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","null","
        
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0.1 </font>
            </div>
        </div>
    
        <img class=""stim"" src=./stimuli//pack_shapes_diff/cat_2/diff_1/ex_2_1_7.png></img>
    ","null","stimulus","","","","","","",""
"","","","","","html-keyboard-response","67","113210","0.0-6.2-2.2","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","null","
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0.1 </font>
            </div>
        </div>
    ","null","","","","","","","",""
"","","","","","html-keyboard-response","68","113229","0.0-6.2-3.2","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","18","./stimuli//pack_shapes_diff/cat_2/diff_1/ex_2_1_7.png","arrowright","response","ArrowRight","7","2","1","test","true",""
"","","","","","html-keyboard-response","69","113381","0.0-6.2-4.2","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","152","<p> <font color=""green"" size=""5vw""> Correct category! </font> <br> <br> <font color=""green"" size=""8vw""> + $0.05 </font> </p>","arrowright","feedback","","","","","","","0.15"
"","","","","","html-keyboard-response","70","114885","0.0-6.3-0.3","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","1504","
            
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0.15 </font>
            </div>
        </div>
    
            <div> Please press any button to continue to the next trial.</div>
        "," ","ITI","","","","","","",""
"","","","","","html-keyboard-response","71","115494","0.0-6.3-1.3","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","null","
        
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0.15 </font>
            </div>
        </div>
    
        <img class=""stim"" src=./stimuli//pack_shapes_diff/cat_2/diff_1/ex_2_1_14.png></img>
    ","null","stimulus","","","","","","",""
"","","","","","html-keyboard-response","72","116495","0.0-6.3-2.3","604390883c34df361e484f51","65576f040411c2a4be0341a4","65576f58dd30b283419317e2","null","
        <div style=""text-align: center; position: fixed; top: 5vh; left: 40vw;"">
            <div style=""margin:0 auto; width: 20vw; top: 8vh; font-size: 2vw""> 
            <font color=""green""> Bonus : $0.15 </font>
            </div>
        </div>
    ","null","","","","","","","",""
